,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
400352,124,28.5057471264,9,0.964532019704,1015,435,71.4942528736,115
400350,195,24.7461928934,90,0.924713584288,1833,788,75.2538071066,105
400351,67,11.2040133779,47,0.975627240143,1395,598,88.7959866221,20
400422,206,22.8634850166,31,0.929858743302,2053,901,77.1365149834,175
400424,243,28.4543325527,19,0.933966983492,1999,854,71.5456674473,224
400425,212,22.7467811159,94,0.943758573388,2187,932,77.2532188841,118
400103,221,23.2386961094,46,0.929501571621,2227,951,76.7613038906,175
400101,153,22.7002967359,78,0.930661577608,1572,674,77.2997032641,75
412327,21,12.1387283237,2,0.967581047382,401,173,87.8612716763,19
412489,2,2.5,2,0.989304812834,187,80,97.5,0
412488,0,0.0,0,0.989361702128,188,80,100.0,0
412485,5,6.17283950617,3,0.97311827957,186,81,93.8271604938,2
412484,6,7.5,5,0.984042553191,188,80,92.5,1
400109,296,30.3901437372,20,0.92617152962,2262,974,69.6098562628,276
400108,45,10.5882352941,28,0.9726443769,987,425,89.4117647059,17
412481,4,4.87804878049,4,0.984042553191,188,82,95.1219512195,0
412480,4,4.93827160494,1,0.994623655914,186,81,95.0617283951,3
412483,7,8.64197530864,6,0.989473684211,190,81,91.3580246914,1
412482,3,3.7037037037,3,0.994736842105,190,81,96.2962962963,0
412416,4,4.87804878049,2,0.989247311828,186,82,95.1219512195,2
400057,93,10.928319624,28,0.975659229209,1972,851,89.071680376,65
412430,3,3.7037037037,3,0.984126984127,189,81,96.2962962963,0
412431,4,4.93827160494,4,0.978835978836,189,81,95.0617283951,0
412432,15,19.2307692308,4,0.989189189189,185,78,80.7692307692,11
400175,64,14.6453089245,17,0.979330708661,1016,437,85.3546910755,47
412434,8,9.75609756098,7,0.983957219251,187,82,90.243902439,1
412435,16,19.512195122,0,0.968253968254,189,82,80.487804878,16
400170,194,24.4332493703,117,0.941399891481,1843,794,75.5667506297,77
400171,67,8.66752910737,17,0.979921918572,1793,773,91.3324708926,50
412438,20,25.0,19,0.989361702128,188,80,75.0,1
400076,243,25.0515463918,34,0.951944080384,2289,970,74.9484536082,209
400075,250,29.4811320755,28,0.927995971803,1986,848,70.5188679245,222
400074,97,19.8770491803,54,0.951413427562,1132,488,80.1229508197,43
400178,242,28.672985782,16,0.933161953728,1945,844,71.327014218,226
400179,136,20.8588957055,78,0.922139471903,1477,652,79.1411042945,58
400618,102,28.7323943662,16,0.935523114355,822,355,71.2676056338,86
400617,52,14.5658263305,23,0.972388955582,833,357,85.4341736695,29
400616,39,10.6557377049,19,0.964200477327,838,366,89.3442622951,20
400313,39,11.5384615385,19,0.987405541562,794,338,88.4615384615,20
400259,126,24.8031496063,17,0.946925021061,1187,508,75.1968503937,109
400311,252,41.3793103448,231,0.953438395415,1396,609,58.6206896552,21
400316,317,33.6518046709,287,0.8926144087,2207,942,66.3481953291,30
400314,250,30.9789343247,17,0.927923117993,1873,807,69.0210656753,233
400315,66,13.1212723658,49,0.973252804142,1159,503,86.8787276342,17
412294,21,12.0,5,0.965432098765,405,175,88.0,16
400252,232,27.0396270396,29,0.970381526104,1992,858,72.9603729604,203
400318,244,24.4979919679,207,0.943103448276,2320,996,75.5020080321,37
412290,25,14.0449438202,9,0.978208232446,413,178,85.9550561798,16
412292,19,10.7954545455,9,0.973236009732,411,176,89.2045454545,10
412293,15,8.62068965517,2,0.98296836983,411,174,91.3793103448,13
412474,8,9.75609756098,8,0.968253968254,189,82,90.243902439,0
412429,9,10.9756097561,9,0.968253968254,189,82,89.0243902439,0
412475,1,1.26582278481,0,0.994652406417,187,79,98.7341772152,1
412428,2,2.43902439024,2,1.0,190,82,97.5609756098,0
400663,83,23.3146067416,2,0.973715651135,837,356,76.6853932584,81
400660,60,17.3913043478,20,0.970660146699,818,345,82.6086956522,40
400661,87,25.0,7,0.96336996337,819,348,75.0,80
412477,3,3.65853658537,3,0.984126984127,189,82,96.3414634146,0
412426,1,1.23456790123,1,0.983957219251,187,81,98.7654320988,0
412471,4,4.87804878049,4,0.968253968254,189,82,95.1219512195,0
412423,3,3.7037037037,3,0.978947368421,190,81,96.2962962963,0
412202,60,21.5053763441,42,0.975572519084,655,279,78.4946236559,18
412200,43,15.3571428571,6,0.984301412873,637,280,84.6428571429,37
412421,2,2.53164556962,1,0.989247311828,186,79,97.4683544304,1
412205,68,23.7762237762,38,0.923192771084,664,286,76.2237762238,30
400227,201,29.7777777778,65,0.917661847894,1591,675,70.2222222222,136
400224,121,27.562642369,5,0.981427174976,1023,439,72.437357631,116
412208,52,18.9090909091,6,0.976265822785,632,275,81.0909090909,46
400220,108,24.6575342466,5,0.978260869565,1012,438,75.3424657534,103
400221,111,13.074204947,83,0.969160768453,1978,849,86.925795053,28
400388,183,18.5598377282,71,0.948806941432,2305,986,81.4401622718,112
400381,147,15.0460593654,98,0.962488967343,2266,977,84.9539406346,49
400380,381,38.7983706721,34,0.950912250217,2302,982,61.2016293279,347
400387,221,24.2590559824,30,0.937441204139,2126,911,75.7409440176,191
400033,231,34.0707964602,12,0.915413533835,1596,678,65.9292035398,219
400032,52,12.037037037,9,0.98321816387,1013,432,87.962962963,43
400031,86,19.8156682028,43,0.959724950884,1018,434,80.1843317972,43
400030,185,21.8934911243,143,0.918753193664,1957,845,78.1065088757,42
412470,13,16.049382716,1,0.962162162162,185,81,83.950617284,12
400036,124,14.4690781797,28,0.956434651978,1997,857,85.5309218203,96
412472,9,11.25,9,0.962962962963,189,80,88.75,0
412473,6,7.31707317073,5,0.968421052632,190,82,92.6829268293,1
400039,97,15.6957928803,23,0.975409836066,1464,618,84.3042071197,74
400038,55,12.8504672897,17,0.983951855567,997,428,87.1495327103,38
412478,2,2.43902439024,2,0.989130434783,184,82,97.5609756098,0
412479,5,6.09756097561,5,0.983957219251,187,82,93.9024390244,0
412275,20,11.2994350282,10,0.977941176471,408,177,88.7005649718,10
412272,27,15.2542372881,8,0.958435207824,409,177,84.7457627119,19
412379,14,9.52380952381,2,0.981981981982,333,147,90.4761904762,12
412270,26,14.606741573,13,0.962962962963,405,178,85.393258427,13
412271,34,19.3181818182,24,0.965936739659,411,176,80.6818181818,10
400133,199,24.3574051408,59,0.935633367662,1942,817,75.6425948592,140
400130,195,26.4227642276,71,0.927948866938,1721,738,73.5772357724,124
400137,76,15.415821501,11,0.977391304348,1150,493,84.584178499,65
400134,97,19.094488189,86,0.961538461538,1170,508,80.905511811,11
400100,236,24.4559585492,54,0.928,2250,965,75.5440414508,182
412420,15,18.9873417722,5,0.983870967742,186,79,81.0126582278,10
400090,188,26.6288951841,29,0.919902912621,1648,706,73.3711048159,159
412278,24,13.7931034483,2,0.980392156863,408,174,86.2068965517,22
412487,4,5.0,3,0.994736842105,190,80,95.0,1
400046,74,11.0283159463,10,0.97571884984,1565,671,88.9716840537,64
400047,132,21.4634146341,54,0.936717663421,1438,615,78.5365853659,78
412486,4,4.87804878049,4,0.989304812834,187,82,95.1219512195,0
